val_0,padre_0,izq_0,val_1,padre_1,izq_1,val_2,padre_2,izq_2,val_3,padre_3,izq_3,val_4,padre_4,izq_4,val_5,padre_5,izq_5,val_6,padre_6,izq_6,val_buscar,busqueda,inorder_0,inorder_1,inorder_2,inorder_3,inorder_4,inorder_5,inorder_6
2,-1,-1,37,0,0,10,1,1,7,2,1,29,2,0,33,4,0,0,-1,-1,22,0,2,7,10,29,33,37,-1
2,-1,-1,43,0,0,26,1,1,28,2,0,50,1,0,16,2,1,32,3,0,33,0,2,16,26,28,32,43,50
48,-1,-1,16,0,1,32,1,0,13,1,1,0,-1,-1,0,-1,-1,0,-1,-1,42,0,13,16,32,48,-1,-1,-1
5,-1,-1,23,0,0,32,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,4,0,5,23,32,-1,-1,-1,-1
45,-1,-1,41,0,1,33,1,1,15,2,1,25,3,0,0,-1,-1,0,-1,-1,38,0,15,25,33,41,45,-1,-1
27,-1,-1,38,0,0,11,0,1,21,2,0,4,2,1,47,1,0,0,-1,-1,27,1,4,11,21,27,38,47,-1
27,-1,-1,25,0,1,2,1,1,21,2,0,0,-1,-1,0,-1,-1,0,-1,-1,12,0,2,21,25,27,-1,-1,-1
29,-1,-1,10,0,1,39,0,0,43,2,0,49,3,0,0,-1,-1,0,-1,-1,48,0,10,29,39,43,49,-1,-1
33,-1,-1,17,0,1,5,1,1,9,2,0,30,1,0,0,-1,-1,0,-1,-1,14,0,5,9,17,30,33,-1,-1
4,-1,-1,31,0,0,25,1,1,42,1,0,30,2,0,0,-1,-1,0,-1,-1,12,0,4,25,30,31,42,-1,-1
9,-1,-1,25,0,0,28,1,0,7,0,1,33,2,0,15,1,1,39,4,0,20,0,7,9,15,25,28,33,39
22,-1,-1,3,0,1,19,1,0,25,0,0,39,3,0,31,4,1,7,2,1,45,0,3,7,19,22,25,31,39
38,-1,-1,32,0,1,44,0,0,7,1,1,39,2,1,27,3,0,0,-1,-1,12,0,7,27,32,38,39,44,-1
9,-1,-1,12,0,0,14,1,0,8,0,1,33,2,0,13,2,1,17,4,1,16,0,8,9,12,13,14,17,33
19,-1,-1,30,0,0,7,0,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,23,0,7,19,30,-1,-1,-1,-1
49,-1,-1,41,0,1,26,1,1,16,2,1,27,2,0,1,3,1,0,-1,-1,48,0,1,16,26,27,41,49,-1
39,-1,-1,20,0,1,18,1,1,21,1,0,15,2,1,2,4,1,19,2,0,17,0,2,15,18,19,20,21,39
5,-1,-1,12,0,0,47,1,0,46,2,1,22,3,1,14,4,1,9,1,1,32,0,5,9,12,14,22,46,47
39,-1,-1,35,0,1,37,1,0,2,1,1,0,-1,-1,0,-1,-1,0,-1,-1,48,0,2,35,37,39,-1,-1,-1
6,-1,-1,23,0,0,38,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,28,0,6,23,38,-1,-1,-1,-1
7,-1,-1,44,0,0,37,1,1,32,2,1,0,-1,-1,0,-1,-1,0,-1,-1,8,0,7,32,37,44,-1,-1,-1
1,-1,-1,12,0,0,37,1,0,8,1,1,25,2,1,0,-1,-1,0,-1,-1,34,0,1,8,12,25,37,-1,-1
23,-1,-1,11,0,1,5,1,1,19,1,0,37,0,0,33,4,1,29,5,1,31,0,5,11,19,23,29,33,37
30,-1,-1,10,0,1,37,0,0,17,1,0,46,2,0,20,3,0,29,5,0,36,0,10,17,20,29,30,37,46
11,-1,-1,4,0,1,19,0,0,48,2,0,8,1,0,14,2,1,0,-1,-1,41,0,4,8,11,14,19,48,-1
26,-1,-1,3,0,1,16,1,0,29,0,0,6,2,1,0,-1,-1,0,-1,-1,5,0,3,6,16,26,29,-1,-1
35,-1,-1,32,0,1,38,0,0,3,1,1,0,-1,-1,0,-1,-1,0,-1,-1,41,0,3,32,35,38,-1,-1,-1
33,-1,-1,3,0,1,8,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,8,1,3,8,33,-1,-1,-1,-1
50,-1,-1,18,0,1,4,1,1,11,2,0,16,3,0,20,1,0,0,-1,-1,32,0,4,11,16,18,20,50,-1
3,-1,-1,35,0,0,42,1,0,13,1,1,45,2,0,0,-1,-1,0,-1,-1,3,1,3,13,35,42,45,-1,-1
15,-1,-1,29,0,0,24,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,30,0,15,24,29,-1,-1,-1,-1
3,-1,-1,19,0,0,35,1,0,31,2,1,5,1,1,22,3,1,0,-1,-1,14,0,3,5,19,22,31,35,-1
25,-1,-1,21,0,1,15,1,1,45,0,0,0,-1,-1,0,-1,-1,0,-1,-1,23,0,15,21,25,45,-1,-1,-1
18,-1,-1,17,0,1,16,1,1,28,0,0,15,2,1,0,-1,-1,0,-1,-1,24,0,15,16,17,18,28,-1,-1
12,-1,-1,43,0,0,10,0,1,1,2,1,0,-1,-1,0,-1,-1,0,-1,-1,39,0,1,10,12,43,-1,-1,-1
50,-1,-1,24,0,1,30,1,0,15,1,1,28,2,1,0,-1,-1,0,-1,-1,1,0,15,24,28,30,50,-1,-1
17,-1,-1,20,0,0,47,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,38,0,17,20,47,-1,-1,-1,-1
19,-1,-1,15,0,1,13,1,1,7,2,1,41,0,0,16,1,0,31,4,1,36,0,7,13,15,16,19,31,41
4,-1,-1,9,0,0,25,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,20,0,4,9,25,-1,-1,-1,-1
6,-1,-1,48,0,0,30,1,1,45,2,0,22,2,1,14,4,1,7,5,1,28,0,6,7,14,22,30,45,48
22,-1,-1,16,0,1,3,1,1,15,2,0,34,0,0,0,-1,-1,0,-1,-1,7,0,3,15,16,22,34,-1,-1
23,-1,-1,30,0,0,1,0,1,8,2,0,22,3,0,31,1,0,0,-1,-1,33,0,1,8,22,23,30,31,-1
50,-1,-1,49,0,1,14,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,10,0,14,49,50,-1,-1,-1,-1
28,-1,-1,12,0,1,13,1,0,42,0,0,0,-1,-1,0,-1,-1,0,-1,-1,14,0,12,13,28,42,-1,-1,-1
4,-1,-1,37,0,0,19,1,1,49,1,0,3,0,1,47,3,1,0,-1,-1,48,0,3,4,19,37,47,49,-1
25,-1,-1,18,0,1,13,1,1,17,2,0,10,2,1,44,0,0,3,4,1,12,0,3,10,13,17,18,25,44
32,-1,-1,49,0,0,40,1,1,27,0,1,29,3,0,7,3,1,19,5,0,19,1,7,19,27,29,32,40,49
20,-1,-1,42,0,0,37,1,1,2,0,1,0,-1,-1,0,-1,-1,0,-1,-1,4,0,2,20,37,42,-1,-1,-1
47,-1,-1,42,0,1,17,1,1,25,2,0,14,2,1,0,-1,-1,0,-1,-1,25,1,14,17,25,42,47,-1,-1
2,-1,-1,9,0,0,37,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,5,0,2,9,37,-1,-1,-1,-1
38,-1,-1,39,0,0,10,0,1,40,1,0,11,2,0,50,3,0,32,4,0,17,0,10,11,32,38,39,40,50
7,-1,-1,35,0,0,34,1,1,39,1,0,23,2,1,49,3,0,0,-1,-1,43,0,7,23,34,35,39,49,-1
12,-1,-1,35,0,0,41,1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,22,0,12,35,41,-1,-1,-1,-1
10,-1,-1,7,0,1,38,0,0,48,2,0,3,1,1,9,1,0,20,2,1,20,1,3,7,9,10,20,38,48
5,-1,-1,42,0,0,31,1,1,45,1,0,0,-1,-1,0,-1,-1,0,-1,-1,35,0,5,31,42,45,-1,-1,-1
12,-1,-1,26,0,0,21,1,1,25,2,0,31,1,0,18,2,1,0,-1,-1,18,1,12,18,21,25,26,31,-1
47,-1,-1,46,0,1,9,1,1,37,2,0,18,3,1,34,4,0,35,5,0,46,1,9,18,34,35,37,46,47
35,-1,-1,34,0,1,27,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,5,0,27,34,35,-1,-1,-1,-1
11,-1,-1,17,0,0,10,0,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,27,0,10,11,17,-1,-1,-1,-1
49,-1,-1,44,0,1,24,1,1,48,1,0,12,2,1,7,4,1,20,4,0,13,0,7,12,20,24,44,48,49
39,-1,-1,17,0,1,18,1,0,44,0,0,19,2,0,37,4,0,23,5,1,31,0,17,18,19,23,37,39,44
11,-1,-1,17,0,0,26,1,0,32,2,0,7,0,1,0,-1,-1,0,-1,-1,31,0,7,11,17,26,32,-1,-1
4,-1,-1,39,0,0,11,1,1,46,1,0,6,2,1,28,2,0,32,5,0,44,0,4,6,11,28,32,39,46
50,-1,-1,7,0,1,40,1,0,9,2,1,28,3,0,3,1,1,0,-1,-1,36,0,3,7,9,28,40,50,-1
34,-1,-1,14,0,1,44,0,0,1,1,1,37,2,1,0,-1,-1,0,-1,-1,2,0,1,14,34,37,44,-1,-1
